Window,Predicted_Risks_new,raw_risk_score,final_risk_score
2025-01-07 00:00:00+00:00,Enrollment Pressure,1.6260622571706773,1.9704771230060165
2025-05-06 00:00:00+00:00,Research Funding Disruption,0.859099024772644,1.2787640650617482
2025-05-20 00:00:00+00:00,Policy or Political Interference,1.5257461634874345,1.8949855523996908
2025-05-20 00:00:00+00:00,Research Funding Disruption,2.4697622852325436,2.4847891543739897
2025-05-27 00:00:00+00:00,Policy or Political Interference,2.278997351270914,2.3843885900719775
2025-05-27 00:00:00+00:00,Research Funding Disruption,1.907375696003437,2.1638451400149816
2025-06-03 00:00:00+00:00,Policy or Political Interference,3.686870652210713,2.9795924785443093
2025-06-10 00:00:00+00:00,Research Funding Disruption,0.16734176342189314,0.31368639316623015
2025-06-17 00:00:00+00:00,No Risk,1.6787072017192841,2.008644205830691
2025-06-17 00:00:00+00:00,Policy or Political Interference,3.3559273321646637,2.8654106700843687
2025-06-17 00:00:00+00:00,Revenue Loss,0.5516322350502014,0.903831445864129
2025-06-24 00:00:00+00:00,Artificial Intelligence Ethics & Governance,2.3282150927186014,2.4110515459737565
2025-06-24 00:00:00+00:00,Endowment Risk,2.5597262583374976,2.5295106174168414
2025-06-24 00:00:00+00:00,Enrollment Pressure,0.05066844537854195,0.09932385659599575
2025-06-24 00:00:00+00:00,High-Profile Litigation,1.6367866833209992,1.9783310194846597
2025-06-24 00:00:00+00:00,Policy or Political Interference,4.562625004177094,3.230119821934897
2025-06-24 00:00:00+00:00,Research Funding Disruption,1.4189781215786934,1.8103930126140666
2025-06-24 00:00:00+00:00,Revenue Loss,1.2791801597177983,1.6924043121211219
2025-06-24 00:00:00+00:00,Student Conduct Incident,1.5352474558353424,1.902296541461456
2025-06-24 00:00:00+00:00,Title IX/ADA Noncompliance,1.5567262202501297,1.9186976588158138
2025-06-24 00:00:00+00:00,Unauthorized Access/Data Breach,1.9511131135225295,2.191713694710461
2025-06-24 00:00:00+00:00,Unexpected Expenditures,1.1761486692726613,1.5997022632729465
2025-07-01 00:00:00+00:00,Artificial Intelligence Ethics & Governance,1.6532647293806075,1.9903194680623757
2025-07-01 00:00:00+00:00,Constant Inflation,0.00726095736026764,0.014479859663096718
2025-07-01 00:00:00+00:00,Enrollment Pressure,1.3419560317993164,1.7464489711648699
2025-07-01 00:00:00+00:00,High-Profile Litigation,1.8239700136184693,2.109138139110381
2025-07-01 00:00:00+00:00,No Risk,1.0952064398954622,1.5231481949716739
2025-07-01 00:00:00+00:00,Policy or Political Interference,3.367298418790102,2.869547599629741
2025-07-01 00:00:00+00:00,Research Funding Disruption,2.4689413114595413,2.48437358856059
2025-07-01 00:00:00+00:00,Student Conduct Incident,1.2547490522265434,1.670882707171182
2025-07-01 00:00:00+00:00,Transportation/Access Disruption,0.00022842826590203913,0.00045681479203976466
2025-07-01 00:00:00+00:00,Unauthorized Access/Data Breach,2.2381134909391402,2.361819208445685
2025-07-08 00:00:00+00:00,Academic Disruption,2.344818099439144,2.4199237735164814
2025-07-08 00:00:00+00:00,Accreditation Risk,2.8832379821538927,2.6779774475066747
2025-07-08 00:00:00+00:00,Artificial Intelligence Ethics & Governance,4.086926995861829,3.102301724635327
2025-07-08 00:00:00+00:00,Enrollment Pressure,3.463414764689682,2.903885526458017
2025-07-08 00:00:00+00:00,High-Profile Litigation,3.1994189739227297,2.806793980721048
2025-07-08 00:00:00+00:00,Infrastructure Failure,1.4185839904546738,1.8100722019870183
2025-07-08 00:00:00+00:00,Institutional Alignment Risk,1.0692151004602863,1.4978294532072336
2025-07-08 00:00:00+00:00,Mission Drift,1.6353305777907372,1.977267049185216
2025-07-08 00:00:00+00:00,No Risk,1.4681035281151533,1.849880576090339
2025-07-08 00:00:00+00:00,Policy or Political Interference,5.119229531375964,3.359414170615935
2025-07-08 00:00:00+00:00,Research Funding Disruption,3.6724772944617268,2.9748811694753967
2025-07-08 00:00:00+00:00,Student Conduct Incident,0.9466982374191284,1.3733407629674184
2025-07-08 00:00:00+00:00,Title IX/ADA Noncompliance,2.0828314343363044,2.272428589377022
2025-07-08 00:00:00+00:00,Unauthorized Access/Data Breach,2.7385154924392703,2.613827807125663
2025-07-15 00:00:00+00:00,Enrollment Pressure,0.5097937166690827,0.8468914561248865
2025-07-15 00:00:00+00:00,High-Profile Litigation,0.18127688670158387,0.33804208659066276
2025-09-16 00:00:00+00:00,No Risk,0.08565213947156444,0.16562966488034497
2025-09-16 00:00:00+00:00,Policy or Political Interference,0.26159812047332526,0.4736353898381285
2025-09-23 00:00:00+00:00,Academic Disruption,0.7634171475470066,1.1696591533216032
2025-09-23 00:00:00+00:00,Emergency Preparedness Gaps,0.0002912608233164065,0.0005824537882448497
2025-09-23 00:00:00+00:00,Enrollment Pressure,0.9201918780803681,1.3452342893066558
2025-09-23 00:00:00+00:00,Housing/Food Insecurity,4.08146296530962,3.100726226693589
2025-09-23 00:00:00+00:00,Mental Health Crises,0.6498581880331039,1.0315673742107436
2025-09-23 00:00:00+00:00,No Risk,1.2284573313564062,1.6474069865639251
2025-09-23 00:00:00+00:00,Policy or Political Interference,5.007941317826807,3.3350962040259846
2025-09-23 00:00:00+00:00,Research Funding Disruption,6.869906660587919,3.6659418868516576
2025-09-23 00:00:00+00:00,Title IX/ADA Noncompliance,0.4031638505160809,0.694352560301432
2025-09-30 00:00:00+00:00,Academic Disruption,1.3164315617084503,1.7246890720072827
2025-09-30 00:00:00+00:00,Artificial Intelligence Ethics & Governance,2.8718853192627427,2.673070205877823
2025-09-30 00:00:00+00:00,Endowment Risk,2.309020011425018,2.400717823942684
2025-09-30 00:00:00+00:00,Enrollment Pressure,1.1523226196169853,1.5775203064315113
2025-09-30 00:00:00+00:00,Grant Mismanagement,1.028566538853429,1.4574849695021637
2025-09-30 00:00:00+00:00,Labor Dispute,1.146168674468994,1.5717438999663327
2025-09-30 00:00:00+00:00,Mission Drift,0.2880072211623192,0.5165108952663493
2025-09-30 00:00:00+00:00,No Risk,1.4449554200344683,1.8313963862509797
2025-09-30 00:00:00+00:00,Policy or Political Interference,6.686495240263971,3.6393069747412383
2025-09-30 00:00:00+00:00,Research Funding Disruption,6.817694390400165,3.6584664106521347
2025-09-30 00:00:00+00:00,Revenue Loss,1.0816670344769954,1.5100050117234631
2025-09-30 00:00:00+00:00,Transportation/Access Disruption,0.0003181410207180306,0.0006362010807715739
2025-09-30 00:00:00+00:00,Unexpected Expenditures,1.3089731377363205,1.7182756223298616
2025-09-30 00:00:00+00:00,Violence or Threats,1.4996362780332566,1.8747158163725248
2025-10-07 00:00:00+00:00,Enrollment Pressure,2.799006041472554,2.641067041220745
2025-10-07 00:00:00+00:00,Housing/Food Insecurity,1.8245182217359541,2.1095046062767584
2025-10-07 00:00:00+00:00,Leadership Missteps,1.1242576059699059,1.5510177920548744
2025-10-07 00:00:00+00:00,No Risk,2.186583517787028,2.3328118548280106
2025-10-07 00:00:00+00:00,Policy or Political Interference,4.458902033811808,3.2037396216723284
2025-10-07 00:00:00+00:00,Research Funding Disruption,3.6782215281963353,2.9767640342852455
2025-10-07 00:00:00+00:00,Transportation/Access Disruption,0.00022668892471119762,0.0004533367428548873
2025-10-14 00:00:00+00:00,Academic Disruption,0.9803740038871765,1.4084319713803917
2025-10-14 00:00:00+00:00,Artificial Intelligence Ethics & Governance,0.008781227216124534,0.017500982391096424
2025-10-14 00:00:00+00:00,Credential Phishing,0.997377559542656,1.4258934624048436
2025-10-14 00:00:00+00:00,Enrollment Pressure,2.066574892708659,2.262718712889511
2025-10-14 00:00:00+00:00,Infrastructure Failure,0.2081716601550579,0.38433985411238464
2025-10-14 00:00:00+00:00,Institutional Alignment Risk,0.6767930143475532,1.0652142133448885
2025-10-14 00:00:00+00:00,Morale challenges,0.2122530527114868,0.3912854895661261
2025-10-14 00:00:00+00:00,No Risk,0.01561152534559369,0.031029284904093027
2025-10-14 00:00:00+00:00,Policy Misapplication,0.3690036495923996,0.6430867553006148
2025-10-14 00:00:00+00:00,Policy or Political Interference,5.328729955810309,3.403317004091733
2025-10-14 00:00:00+00:00,Research Funding Disruption,3.447306782544404,2.8982083055328465
2025-10-14 00:00:00+00:00,Title IX/ADA Noncompliance,0.24614461064338683,0.44816396356075056
2025-10-14 00:00:00+00:00,Transportation/Access Disruption,0.1329834060743451,0.25253369574519485
2025-10-14 00:00:00+00:00,Unexpected Expenditures,0.6943465840816498,1.0868366437470798
2025-10-14 00:00:00+00:00,Violence or Threats,2.0159040373563766,2.2320049548002494
2025-10-21 00:00:00+00:00,Emergency Preparedness Gaps,0.7345418649315835,1.1354650760519998
2025-10-21 00:00:00+00:00,Enrollment Pressure,2.2211059376716613,2.352315291157244
2025-10-21 00:00:00+00:00,IT System Failure,1.125886435508728,1.5525671522455737
2025-10-21 00:00:00+00:00,No Risk,0.09843263540957123,0.18940771076417776
2025-10-21 00:00:00+00:00,Policy or Political Interference,2.548230664856732,2.523884935167726
2025-10-21 00:00:00+00:00,Rapid Speed of Disruptive Innovation,0.1744600142240524,0.32615932430507644
2025-10-21 00:00:00+00:00,Research Funding Disruption,1.4486709791533647,1.834377929690124
2025-10-21 00:00:00+00:00,Revenue Loss,3.470105390882492,2.9062346170488174
2025-10-21 00:00:00+00:00,Student Conduct Incident,2.5860962734222412,2.542319427707328
2025-10-21 00:00:00+00:00,Title IX/ADA Noncompliance,2.962929429071248,2.711850361185222
2025-10-28 00:00:00+00:00,Artificial Intelligence Ethics & Governance,1.9218143725395205,2.173106117337747
2025-10-28 00:00:00+00:00,Enrollment Pressure,1.9085896248817444,2.1646260905186203
2025-10-28 00:00:00+00:00,Lab Incident,1.6758549091219903,2.0066009782346024
2025-10-28 00:00:00+00:00,Mission Drift,1.5517809520959855,1.914936876453365
2025-10-28 00:00:00+00:00,No Risk,1.6820058530604838,2.011003705111454
2025-10-28 00:00:00+00:00,Policy or Political Interference,5.424189197386503,3.422551545825956
2025-10-28 00:00:00+00:00,Research Funding Disruption,3.6368982020461558,2.9631404027799797
2025-10-28 00:00:00+00:00,Revenue Loss,1.9498705030605197,2.190929490778937
2025-10-28 00:00:00+00:00,Student Conduct Incident,8.416632644366474e-05,0.00016832698590171162
2025-10-28 00:00:00+00:00,Title IX/ADA Noncompliance,0.47424348384141923,0.7972506057723702
2025-10-28 00:00:00+00:00,Transportation/Access Disruption,0.06693115846812725,0.13037193897336516
2025-10-28 00:00:00+00:00,Violence or Threats,1.3850697816610338,1.782554573664385
2025-11-04 00:00:00+00:00,Academic Disruption,0.9537974204421042,1.3807952585708012
2025-11-04 00:00:00+00:00,Emergency Preparedness Gaps,0.7022560774683952,1.0965020605466025
2025-11-04 00:00:00+00:00,Enrollment Pressure,1.236374308347702,1.6545107720945267
2025-11-04 00:00:00+00:00,IT System Failure,0.6997794410884379,1.093480744489065
2025-11-04 00:00:00+00:00,Leadership Missteps,0.940452125787735,1.3667565939061084
2025-11-04 00:00:00+00:00,No Risk,1.4790866371021607,1.8585755626815545
2025-11-04 00:00:00+00:00,Policy Misapplication,1.1722619496434927,1.5961033903876292
2025-11-04 00:00:00+00:00,Policy or Political Interference,5.325054988545179,3.40256713616731
2025-11-04 00:00:00+00:00,Research Funding Disruption,2.7487859973907467,2.618496923628827
2025-11-04 00:00:00+00:00,Revenue Loss,3.4401904367208482,2.895690359903621
2025-11-04 00:00:00+00:00,Title IX/ADA Noncompliance,2.0234007297441363,2.2365923899236195
2025-11-04 00:00:00+00:00,Violence or Threats,1.2292401711344718,1.6481107608048273
2025-11-11 00:00:00+00:00,Artificial Intelligence Ethics & Governance,2.1235472015142443,2.2964480613702483
2025-11-11 00:00:00+00:00,Emergency Preparedness Gaps,1.2774915355890988,1.6909257420610928
2025-11-11 00:00:00+00:00,Enrollment Pressure,3.9319436593174935,3.056575016497206
2025-11-11 00:00:00+00:00,High-Profile Litigation,2.1722194541692734,2.324611970260606
2025-11-11 00:00:00+00:00,Leadership Missteps,2.454759664773941,2.4771732948281544
2025-11-11 00:00:00+00:00,No Risk,0.12493124669039622,0.23797051227134774
2025-11-11 00:00:00+00:00,Policy or Political Interference,2.92528152030468,2.6959720978132746
2025-11-11 00:00:00+00:00,Research Funding Disruption,4.673580889056921,3.25749507905203
2025-11-11 00:00:00+00:00,Revenue Loss,2.2845771446228027,2.3874389267506624
2025-11-11 00:00:00+00:00,Title IX/ADA Noncompliance,1.504526260793209,1.8785321443930239
2025-11-11 00:00:00+00:00,Transportation/Access Disruption,0.003491785377264023,0.006973830307052171
2025-11-18 00:00:00+00:00,Artificial Intelligence Ethics & Governance,2.8414819462299348,2.6598254705657833
2025-11-18 00:00:00+00:00,Controversial Public Incident,2.089879073640108,2.276616703958915
2025-11-18 00:00:00+00:00,Leadership Missteps,0.7560771252214908,1.1610245951561413
2025-11-18 00:00:00+00:00,No Risk,0.02686325112730265,0.05315533223912735
2025-11-18 00:00:00+00:00,Policy or Political Interference,5.913462722364664,3.5142859233484804
2025-11-18 00:00:00+00:00,Research Funding Disruption,1.821806623700261,2.10769104488583
2025-11-18 00:00:00+00:00,Student Conduct Incident,4.0002017141294015,3.0769827538076373
2025-11-25 00:00:00+00:00,Controversial Public Incident,0.024064893670380116,0.04767090919636786
2025-11-25 00:00:00+00:00,No Risk,0.12574162063114344,0.2394402016618056
2025-11-25 00:00:00+00:00,Policy or Political Interference,2.3086341364979743,2.400509241257543
2025-11-25 00:00:00+00:00,Ransomware/Malware,0.19386181834340097,0.35982138546107184
2025-11-25 00:00:00+00:00,Research Funding Disruption,4.036605401687324,3.08769242873781
2025-11-25 00:00:00+00:00,Title IX/ADA Noncompliance,0.0019144835576880722,0.003826037161281594
2025-11-25 00:00:00+00:00,Transportation/Access Disruption,0.5837583499699831,0.9465046928460937
2025-12-02 00:00:00+00:00,Artificial Intelligence Ethics & Governance,2.740249952077866,2.614617601390656
2025-12-02 00:00:00+00:00,Enrollment Pressure,1.6781149985790254,2.008220213122127
2025-12-02 00:00:00+00:00,High-Profile Litigation,2.0745116120576856,2.2674678610385453
2025-12-02 00:00:00+00:00,IT System Failure,1.2483695715665817,1.6652167665591764
2025-12-02 00:00:00+00:00,Institutional Alignment Risk,1.1271057908347808,1.5537261053741924
2025-12-02 00:00:00+00:00,No Risk,3.3682621796000003,2.869897489676912
2025-12-02 00:00:00+00:00,Policy or Political Interference,5.862723069262504,3.50527156089334
2025-12-02 00:00:00+00:00,Research Funding Disruption,3.034688949584961,2.741517163139338
2025-12-02 00:00:00+00:00,Title IX/ADA Noncompliance,0.41769665560126307,0.7157986331433527
2025-12-09 00:00:00+00:00,Artificial Intelligence Ethics & Governance,0.08668275764584542,0.16755583457156512
2025-12-09 00:00:00+00:00,Enrollment Pressure,1.4838668665885926,1.8623449481122294
2025-12-09 00:00:00+00:00,Grant Mismanagement,4.3202924908655406e-05,8.640435664893798e-05
2025-12-09 00:00:00+00:00,Leadership Missteps,2.142346902215481,2.307396395983551
2025-12-09 00:00:00+00:00,Media campaigns,0.21914534863829613,0.40296733079759883
2025-12-09 00:00:00+00:00,No Risk,0.7356411862140148,1.1367780663510154
2025-12-09 00:00:00+00:00,Policy or Political Interference,3.9835664556256924,3.0720487581099842
2025-12-09 00:00:00+00:00,Revenue Loss,0.07413412969559431,0.14399818727464891
2025-12-09 00:00:00+00:00,Violence or Threats,6.719645080964764,3.644199436070703
2025-12-09 00:00:00+00:00,Workplace Safety Violation,2.3644180345535277,2.4303195343803767
2025-12-16 00:00:00+00:00,Controversial Public Incident,1.723467766523361,2.0403467740231753
2025-12-16 00:00:00+00:00,DEI Program Backlash,2.4515030400753024,2.475514020928502
2025-12-16 00:00:00+00:00,Enrollment Pressure,3.074582915059477,2.7576797779378563
2025-12-16 00:00:00+00:00,Leadership Missteps,0.8425966308712959,1.2603923295579653
2025-12-16 00:00:00+00:00,Mental Health Crises,1.2664561415076256,1.6812304377460405
2025-12-16 00:00:00+00:00,No Risk,0.7482970069293677,1.1518297208246004
2025-12-16 00:00:00+00:00,Policy or Political Interference,4.463769104602654,3.2049950519269497
2025-12-16 00:00:00+00:00,Research Funding Disruption,5.654337066946029,3.467073423948918
2025-12-16 00:00:00+00:00,Revenue Loss,0.061547223208472134,0.12013681155442649
2025-12-16 00:00:00+00:00,Violence or Threats,5.038271073497192,3.3417948388792897
2025-12-23 00:00:00+00:00,Emergency Preparedness Gaps,0.8464083901643753,1.2646519663471198
2025-12-23 00:00:00+00:00,Enrollment Pressure,3.151692584944144,2.78827319212311
2025-12-23 00:00:00+00:00,Leadership Missteps,1.1523069529235364,1.5775056255898172
2025-12-23 00:00:00+00:00,No Risk,0.1446100942918658,0.27340532089019975
2025-12-23 00:00:00+00:00,Policy or Political Interference,3.5189792140573264,2.923235891759478
2025-12-23 00:00:00+00:00,Research Funding Disruption,0.010464977375231683,0.020842707366053634
2025-12-23 00:00:00+00:00,Violence or Threats,5.068265522044897,3.348366615363862
2025-12-30 00:00:00+00:00,IT System Failure,1.0623119469881057,1.4910428435194711
2025-12-30 00:00:00+00:00,Policy or Political Interference,3.4463360983133313,2.897865207527438
2025-12-30 00:00:00+00:00,Research Funding Disruption,3.9825126795768737,3.0717353566648327
2025-12-30 00:00:00+00:00,Transportation/Access Disruption,0.1992772223353386,0.369130707817646
2026-01-06 00:00:00+00:00,Artificial Intelligence Ethics & Governance,2.6803073147535326,2.587015742405869
2026-01-06 00:00:00+00:00,Enrollment Pressure,1.6066369006633758,1.9561467686659169
2026-01-06 00:00:00+00:00,No Risk,0.9507568062925337,1.3776062175097459
2026-01-06 00:00:00+00:00,Policy or Political Interference,3.320681282377243,2.852485062557001
2026-01-06 00:00:00+00:00,Student Conduct Incident,4.207266418015958,3.1363495616597916
2026-01-06 00:00:00+00:00,Title IX/ADA Noncompliance,2.1213891493082047,2.2951855824841805
2026-01-06 00:00:00+00:00,Violence or Threats,1.3649200282096863,1.7657804278578393
2026-01-13 00:00:00+00:00,Artificial Intelligence Ethics & Governance,2.4160448116064073,2.457305521201017
2026-01-13 00:00:00+00:00,Enrollment Pressure,4.390219098263681,3.185834177152658
2026-01-13 00:00:00+00:00,High-Profile Litigation,0.5190325348973275,0.8596007643140204
2026-01-13 00:00:00+00:00,Infectious Disease Outbreak,2.5622770500183103,2.530755453229335
2026-01-13 00:00:00+00:00,No Risk,0.7716371996104717,1.1792829591593232
2026-01-13 00:00:00+00:00,Policy or Political Interference,3.271840406609277,2.834312954029988
2026-01-13 00:00:00+00:00,Ransomware/Malware,1.1023520085811616,1.5300448234309822
2026-01-13 00:00:00+00:00,Research Funding Disruption,5.348584617105126,3.4073561527568135
2026-01-13 00:00:00+00:00,Revenue Loss,0.8665396852493287,1.286988668284705
2026-01-13 00:00:00+00:00,Student Conduct Incident,5.333968663249612,3.4043847330358266
2026-01-20 00:00:00+00:00,Artificial Intelligence Ethics & Governance,2.370679536998272,2.433622987296026
2026-01-20 00:00:00+00:00,Emergency Preparedness Gaps,0.3308119523525238,0.5843057714900581
2026-01-20 00:00:00+00:00,Enrollment Pressure,6.720020500633717,3.644254641392518
2026-01-20 00:00:00+00:00,Extreme Weather Events,2.765609376430511,2.626105716092144
2026-01-20 00:00:00+00:00,FERPA/HIPAA Violations,1.2728102220892905,1.6868198334455837
2026-01-20 00:00:00+00:00,High-Profile Litigation,2.527646544456482,2.513747259384694
2026-01-20 00:00:00+00:00,Infectious Disease Outbreak,1.3865463824272155,1.7837769654524145
2026-01-20 00:00:00+00:00,No Risk,2.9346991078754887,2.6999646619099673
2026-01-20 00:00:00+00:00,Policy or Political Interference,5.483841365140677,3.4343376291796166
2026-01-20 00:00:00+00:00,Research Funding Disruption,6.920587108744781,3.673118792310013
2026-01-20 00:00:00+00:00,Title IX/ADA Noncompliance,1.4018159890174866,1.796363530421737
